English,Russian
kid,дитя
change,изменять
gave,дал
happen,случаться
damn,черт
five,пять
drink,напиток
far,далеко
knows,знает
its,это
whatever,что бы ни
eyes,глаза
shut,закрыть
aren,арен
hit,ударил
taking,взять
easy,легкий
times,времена
check,чек
hands,Руки
minutes,минут
deal,по рукам
different,разные
means,означает
point,точка
inside,внутри
makes,произносить
asked,спросил
somebody,кто-то
mine,мой
making,изготовление
body,тело
afraid,испуганный
sleep,спать
chance,шанс
dear,дорогой
quite,довольно
four,четыре
anyway,так или иначе
close,Закрыть
ain,аин
party,вечеринка
fun,веселье
against,против
word,слово
comes,поставляется
important,важный
set,набор
shall,должен
story,сказка
number,номер
daughter,дочь
least,наименее
waiting,ожидающий
hurt,повредить
wish,желание
moment,момент
fight,борьба
week,неделю
husband,муж
girls,девушки
rest,отдых
married,состоите в браке
fire,Пожар
game,игра
nobody,никто
children,дети
side,боковая сторона
stand,стоять
read,читать
though,хотя
cut,резать
started,началось
sister,сестра
supposed,предполагаемый
between,между
child,ребенок
goes,идет
hours,часы
speak,разговаривать
women,женщины
behind,позади
almost,почти
truth,правда
blood,кровь
able,способный
lady,леди
anymore,больше
playing,воспроизведение
gets,получает
shot,выстрелил
reason,причина
trouble,беда
break,ломать
war,война
city,город
walk,ходить
town,город
trust,доверять
dr.,доктор
met,встретились
office,офис
question,вопрос
brought,принес
yours,ваша
welcome,Добро пожаловать
high,высокий
wow,ух ты
couple,пара
half,половина
died,умерла
cool,здорово
free,бесплатно
either,либо
seems,кажется
power,сила
whoa,вау
bye,до свидания
buy,купить
telling,рассказывать
honey,медовый
tried,пытался
front,фронт
team,команда
answer,отвечать
gun,пистолет
boys,мальчики
line,линия
send,Отправить
news,Новости
stupid,тупой
bed,кровать
hurry,торопиться
full,полный
months,месяцы
save,спасти
sometimes,иногда
become,стать
along,вместе
hate,ненавидеть
food,еда
outside,за пределами
light,светлый
needs,потребности
dog,собака
country,страна
clear,чистый
order,приказ
fact,факт
lord,господин
captain,капитан
six,шесть
hot,горячий
funny,смешной
black,чернить
mrs.,Г-жа.
alive,в живых
pick,выбирать
feeling,чувство
living,жизнь
cause,причина
ahead,предстоящий
lose,терять
king,король
plan,план
dinner,обед
sighs,вздыхает
sort,Сортировать
leaving,уход
shouldn,одолевать
running,Бег
boss,босс
alright,хорошо
promise,обещать
taken,взятый
safe,безопасно
book,книга
sent,послал
white,белый
hour,час
anybody,Кто-нибудь
small,маленький
perfect,идеально
cause,причина
lives,жизни
special,специальный
parents,родители
john,Джон
himself,сам
perhaps,возможно
sounds,звуки
serious,серьезный
sick,больной
company,Компания
scared,напугана
uncle,дядя
poor,бедных
red,красный
past,мимо
earth,земной шар
possible,возможный
shoot,стрелять
touch,трогать
sound,звук
top,верхняя
ass,жопа
laughs,смех
cannot,не может
asking,спрашивать
win,выиграть
glad,довольный
control,контроль
hmm,Хм
human,человек
drive,водить машину
hair,волосы
jack,Джек
bitch,сука
luck,удача
murder,убийство
happens,случается
air,воздуха
ten,десять
daddy,папочка
finally,наконец-то
chuckles,смехаться
fast,быстрый
cold,холодно
seem,казаться
laughing,смеющийся
words,слова
hospital,больница
street,улица
hang,вешать
dance,танцевать
meeting,встреча
till,до
others,другие
catch,поймать
follow,следить
sense,смысл
sex,секс
lie,ложь
evening,вечер
master,владелец
known,известен
dream,мечтать
write,написать
million,миллион
voice,голос
sweet,сладкий
rather,скорее
felt,чувствовал себя
sign,подписать
lucky,счастливчик
somewhere,где-то
bet,держать пари
jesus,Иисус
longer,дольше
calling,призыв
worked,работал
quiet,тихий
looked,смотрел
less,меньше
pull,тянуть
beat,бить
careful,осторожный
coffee,кофе
return,возвращение
secret,секретарь
weeks,недели
weren,вурена
date,Дата
seeing,видимость
fall,падать
given,данный
ooh,ООН
fault,вина
straight,прямой
takes,занимает
song,песня
future,будущее
gentlemen,джентльмены
loved,любимый
changed,измененный
road,Дорога
calm,спокойствие
wonderful,чудесно
mad,Сумасшедший
turned,повернувшийся
drop,уронить
ladies,дамы
learn,учиться
step,шаг
absolutely,абсолютно
early,рано
explain,объяснять
clean,чистый
piece,кусок
yesterday,вчерашний день
throw,бросать
picture,рисунок
land,земля
feet,ноги
wonder,удивляться
questions,вопросы
speaking,Говорящий
worth,ценность
darling,дорогой
dude,чувак
giving,давать
president,президент
eye,глаз
quick,быстрый
moving,движущийся
figure,фигура
state,государство
strong,сильный
sam,Сэм
none,никто
amazing,удивительный
ones,одинаково
works,работает
act,действовать
needed,нужный
weird,странный
law,закон
worried,волновался
report,отчет
goodbye,до свидания
missing,отсутствует
choice,выбор
happening,происходит
chief,главный
wedding,свадьба
strange,странный
general,Общее
pain,боль
am,являюсь
kidding,шутя
decided,решил
pass,проходят
tired,усталый
class,класс
officer,офицер
kept,сдержанный
wake,будить
worse,худший
busy,занятый
mistake,ошибка
kiss,целовать
court,корт
building,строительство
finish,финиш
during,в течение
age,возраст
ship,судно
caught,пойманный
marry,выйти замуж
meant,означало
sell,продавать
dark,темно
watching,watching
system,система
suppose,предполагать
evidence,свидетельство
movie,кино
ride,поездка
completely,полностью
mouth,рот
totally,полностью
birthday,день рождения
forgive,простить
born,родившийся
imagine,представить
information,Информация
instead,вместо
definitely,определенно
security,безопасность
certainly,конечно
film,пленка
month,месяц
lying,врущий
unless,пока не
train,тренироваться
seven,Семь
wear,носить
clothes,одежда
michael,Майкл
hotel,отель
christmas,рождество
attack,атака
hasn,несущественно
round,круглый
expect,ожидать
sing,петь
terrible,ужасный
george,Джордж
bag,сумка
history,история
blue,синий
near,около
broke,сломанный
station,станция
seriously,шутки в сторону
forever,навсегда
david,Дэйвид
frank,откровенный
except,Кроме
thinks,думать
message,сообщение
entire,весь
joe,Джо
table,Таблица
talked,разговаривали
across,через
rock,камень
lovely,прекрасный
handle,ручка
middle,середина
buddy,приятель
paid,оплаченный
protect,защищать
using,с использованием
floor,этаж
ran,победа
swear,поклясться
spend,тратить
situation,ситуация
ring,звенеть
anywhere,в любом месте
dangerous,опасный
bill,законопроект
york,Йорк
army,армия
lead,Свинец
bought,купила
finished,законченный
fair,справедливый
sun,солнце
letter,письмо
fool,дурак
attention,внимание
club,клуб
simple,просто
interesting,интересный
space,космос
test,контрольная работа
box,коробка
group,группа
single,не замужем
sitting,заседание
marriage,брак
join,присоединиться
fear,страх
peace,мир
forgot,забыл
force,сила
short,короткая
normal,нормальный
charlie,Чарли
present,настоящее время
enjoy,наслаждаться
mike,Майк
crime,преступление
horse,лошадь
ground,земля
american,американец
count,считать
area,площадь
charge,обвинение
honor,честь
lunch,обед
miles,мили
radio,радио
idiot,идиот
ball,мяч
surprise,сюрприз
paper,бумага
key,ключ
boat,лодка
quickly,быстро
gold,золото
bar,бар
fish,рыбы
mark,отметка
tom,Том
wearing,утомительный
crying,плач
accident,несчастный случай
government,правительство
eight,8
fell,упал
cover,обложка
certain,определенный
interested,заинтересовать
deep,глубокий
star,звезда
sea,море
agree,дать согласие
problems,проблемы
detective,детектив
prison,тюрьма
major,крупный
stick,палка
offer,предложение
difficult,трудный
smart,умная
personal,личный
record,записывать
stopped,остановился
hide,Спрятать
whether,ли
bank,банк
trip,путешествие
relax,расслабляться
america,Америка
public,публичный
list,список
afternoon,после полудня
brain,головной мозг
fix,исправить
bastard,сволочь
proud,гордый
tea,чай
service,услуга
screaming,кричать
forward,вперед
angry,злой
park,парк
soul,душа
fighting,боевые действия
peter,Питер
rich,богатый
agent,агент
blow,дуть
paul,Павел
dress,одеваться
mary,Мэри
missed,пропущенный
scene,место действия
killing,убийство
standing,стоянок
saved,спасенный
respect,уважать
killer,убийца
ice,лед
mess,беспорядок
tough,жесткий
feels,чувствителен
church,церковь
sad,грустный
cell,клетка
drunk,пьяный
share,Поделиться
camera,камера
mm-hmm,мм-хм.
within,в пределах
card,карта
fly,летать
ben,Бен
girlfriend,Подруга
laugh,смех
smell,запах
broken,сломанный
mum,мама
honest,честный
often,довольно часто
starting,запуск
calls,вызовы
spent,потраченный
third,третий
english,английский
visit,визит
mama,мама
judge,судить
window,окно
hungry,голодный
dare,посметь
relationship,отношение
moved,взолнованный
prove,доказывать
private,частный
wall,стена
seat,сиденье
i-i,я-я
position,должность
lieutenant,лейтенант
realize,понимать
especially,особенно
machine,машина
walking,гулять пешком
art,искусство
pleasure,удовольствие
